Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 114. I-divergence: 1515.77286199. MSE: 0.782119252523.
Iteration 115. I-divergence: 1515.62313895. MSE: 0.782040624365.
Iteration 116. I-divergence: 1515.47336517. MSE: 0.781961969741.
Iteration 117. I-divergence: 1515.32353912. MSE: 0.781883287822.
Iteration 118. I-divergence: 1515.17365938. MSE: 0.781804577849.
Iteration 119. I-divergence: 1515.02372467. MSE: 0.781725839125.
Iteration 120. I-divergence: 1514.87373382. MSE: 0.781647071011.
Iteration 121. I-divergence: 1514.72368573. MSE: 0.781568272918.
Iteration 122. I-divergence: 1514.57357944. MSE: 0.781489444309.
Iteration 123. I-divergence: 1514.42341404. MSE: 0.781410584689.
Iteration 124. I-divergence: 1514.27318871. MSE: 0.781331693602.
Iteration 125. I-divergence: 1514.12290269. MSE: 0.781252770633.
Iteration 126. I-divergence: 1513.97255531. MSE: 0.781173815399.
Iteration 127. I-divergence: 1513.82214593. MSE: 0.781094827548.
Iteration 128. I-divergence: 1513.67167399. MSE: 0.781015806757.
Iteration 129. I-divergence: 1513.52113895. MSE: 0.780936752731.
Iteration 130. I-divergence: 1513.37054036. MSE: 0.780857665198.
Iteration 131. I-divergence: 1513.21987777. MSE: 0.780778543909.
Iteration 132. I-divergence: 1513.06915078. MSE: 0.780699388636.
Iteration 133. I-divergence: 1512.91835905. MSE: 0.780620199168.
Iteration 134. I-divergence: 1512.76750224. MSE: 0.780540975312.
Iteration 135. I-divergence: 1512.61658006. MSE: 0.780461716894.
Iteration 136. I-divergence: 1512.46559223. MSE: 0.78038242375.
Iteration 137. I-divergence: 1512.31453852. MSE: 0.780303095733.
Iteration 138. I-divergence: 1512.1634187. MSE: 0.780223732707.
Iteration 139. I-divergence: 1512.01223257. MSE: 0.780144334548.
Iteration 140. I-divergence: 1511.86097995. MSE: 0.780064901141.
Iteration 141. I-divergence: 1511.70966069. MSE: 0.779985432384.
Iteration 142. I-divergence: 1511.55827462. MSE: 0.779905928181.
