Fold 1 for k=1,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
[622.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 64. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 65. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 66. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 67. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 68. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 69. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 70. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 71. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 72. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 73. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 74. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 75. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 76. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 77. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 78. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 79. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 80. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 81. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 82. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 83. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 84. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 85. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 86. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 87. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 88. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 89. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 90. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 91. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 92. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 93. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 94. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 95. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 96. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 97. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 98. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 99. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 100. I-divergence: 1631.41606393. MSE: 0.84277640679.
Performance on test set: MSE=0.854483256799, I-div=412.444489635.
0.854483256799
