Fold 1 for k=10,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
[132.0, 4.0, 29.0, 59.0, 10.0, 72.0, 131.0, 34.0, 81.0, 70.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
[32.0, 2.0, 28.0, 23.0, 54.0]
Iteration 143. I-divergence: 1460.09695815. MSE: 0.752917619666.
Iteration 144. I-divergence: 1459.7248835. MSE: 0.7527219435.
Iteration 145. I-divergence: 1459.35326538. MSE: 0.752526497118.
Iteration 146. I-divergence: 1458.98210553. MSE: 0.752331281578.
Iteration 147. I-divergence: 1458.61140585. MSE: 0.752136298034.
Iteration 148. I-divergence: 1458.24116842. MSE: 0.751941547727.
Iteration 149. I-divergence: 1457.8713955. MSE: 0.751747031979.
Iteration 150. I-divergence: 1457.50208948. MSE: 0.751552752195.
Iteration 151. I-divergence: 1457.13325293. MSE: 0.751358709852.
Iteration 152. I-divergence: 1456.76488852. MSE: 0.751164906497.
Iteration 153. I-divergence: 1456.39699908. MSE: 0.750971343744.
Iteration 154. I-divergence: 1456.02958756. MSE: 0.750778023272.
Iteration 155. I-divergence: 1455.66265701. MSE: 0.750584946817.
Iteration 156. I-divergence: 1455.29621062. MSE: 0.75039211617.
Iteration 157. I-divergence: 1454.93025166. MSE: 0.750199533178.
Iteration 158. I-divergence: 1454.56478349. MSE: 0.750007199735.
Iteration 159. I-divergence: 1454.1998096. MSE: 0.74981511778.
Iteration 160. I-divergence: 1453.83533354. MSE: 0.7496232893.
Iteration 161. I-divergence: 1453.47135893. MSE: 0.749431716317.
Iteration 162. I-divergence: 1453.1078895. MSE: 0.749240400897.
Iteration 163. I-divergence: 1452.74492902. MSE: 0.749049345136.
Iteration 164. I-divergence: 1452.38248133. MSE: 0.748858551167.
Iteration 165. I-divergence: 1452.02055035. MSE: 0.748668021151.
Iteration 166. I-divergence: 1451.65914004. MSE: 0.74847775728.
Iteration 167. I-divergence: 1451.29825442. MSE: 0.748287761769.
Iteration 168. I-divergence: 1450.93789755. MSE: 0.74809803686.
Iteration 169. I-divergence: 1450.57807355. MSE: 0.747908584816.
Iteration 170. I-divergence: 1450.21878656. MSE: 0.747719407918.
Iteration 171. I-divergence: 1449.86004077. MSE: 0.747530508467.
Iteration 172. I-divergence: 1449.50184041. MSE: 0.747341888781.
Iteration 173. I-divergence: 1449.14418971. MSE: 0.747153551191.
Iteration 174. I-divergence: 1448.78709296. MSE: 0.746965498041.
