Fold 1 for k=5,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 214. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 215. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 216. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 217. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 218. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 219. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 220. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 221. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 222. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 223. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 224. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 225. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 226. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 227. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 228. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 229. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 230. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 231. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 232. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 233. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 234. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 235. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 236. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 237. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 238. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 239. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 240. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 241. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 242. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 243. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 244. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 245. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 246. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 247. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 248. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 249. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 250. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 251. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 252. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 253. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 254. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 255. I-divergence: 1631.41606393. MSE: 0.84277640679.
